"","SYMBOL","gene_id","length","gc","DESCRIPTION","GENEBIOTYPE","SEQCOORDSYSTEM","ENTREZID"
"ENSMUSG00000007777","0610009B22Rik","ENSMUSG00000007777",998,0.501002004008016,"RIKEN cDNA 0610009B22 gene [Source:MGI Symbol;Acc:MGI:1913300]","protein_coding","chromosome","66050"
"ENSMUSG00000086714","0610009E02Rik","ENSMUSG00000086714",1803,0.501386577925679,"RIKEN cDNA 0610009E02 gene [Source:MGI Symbol;Acc:MGI:3698435]","lncRNA","chromosome","100125929"
"ENSMUSG00000043644","0610009L18Rik","ENSMUSG00000043644",619,0.602584814216478,"RIKEN cDNA 0610009L18 gene [Source:MGI Symbol;Acc:MGI:1914088]","lncRNA","chromosome","66838"
"ENSMUSG00000042208","0610010F05Rik","ENSMUSG00000042208",5226,0.393034825870647,"RIKEN cDNA 0610010F05 gene [Source:MGI Symbol;Acc:MGI:1918925]","protein_coding","chromosome","71675"
"ENSMUSG00000020831","0610010K14Rik","ENSMUSG00000020831",1896,0.557489451476793,"RIKEN cDNA 0610010K14 gene [Source:MGI Symbol;Acc:MGI:1915609]","protein_coding","chromosome","104457"
"ENSMUSG00000107002","0610012G03Rik","ENSMUSG00000107002",1445,0.545328719723183,"RIKEN cDNA 0610012G03 gene [Source:MGI Symbol;Acc:MGI:1913301]","protein_coding","chromosome","106264"
"ENSMUSG00000058706","0610030E20Rik","ENSMUSG00000058706",5832,0.480109739368999,"RIKEN cDNA 0610030E20 gene [Source:MGI Symbol;Acc:MGI:1915614]","protein_coding","chromosome","68364"
"ENSMUSG00000097882","0610038B21Rik","ENSMUSG00000097882",3071,0.552588733311625,"RIKEN cDNA 0610038B21 gene [Source:MGI Symbol;Acc:MGI:1917595]","lncRNA","chromosome","70345"
"ENSMUSG00000089889","0610040B10Rik","ENSMUSG00000089889",2098,0.46139180171592,"RIKEN cDNA 0610040B10 gene [Source:MGI Symbol;Acc:MGI:1914922]","lncRNA","chromosome","67672"
"ENSMUSG00000060512","0610040J01Rik","ENSMUSG00000060512",2403,0.544319600499376,"RIKEN cDNA 0610040J01 gene [Source:MGI Symbol;Acc:MGI:1923511]","protein_coding","chromosome","76261"
"ENSMUSG00000087361","0610043K17Rik","ENSMUSG00000087361",770,0.431168831168831,"RIKEN cDNA 0610043K17 gene [Source:MGI Symbol;Acc:MGI:1915650]","lncRNA","chromosome","68400"
"ENSMUSG00000097863","1010001B22Rik","ENSMUSG00000097863",589,0.541595925297114,"RIKEN cDNA 1010001B22 gene [Source:MGI Symbol;Acc:MGI:1922653]","lncRNA","chromosome","75403"
"ENSMUSG00000090066","1110002E22Rik","ENSMUSG00000090066",9998,0.499899979995999,"RIKEN cDNA 1110002E22 gene [Source:MGI Symbol;Acc:MGI:1915066]","protein_coding","chromosome","102634333"
