"","SYMBOL","gene_id","coding_length","DESCRIPTION","GENEBIOTYPE","SEQCOORDSYSTEM","ENTREZID","Wildtype_Avg","Pax6cKO_Avg","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000035275","Raver2","ENSMUSG00000035275",6342,"ribonucleoprotein, PTB-binding 2 [Source:MGI Symbol;Acc:MGI:2443623]","protein_coding","chromosome",242570,14.6266675439309,1.09164714727927,-3.74940299168902,5.65068377922775,535.578617304905,2.42960575493602e-09,2.62043782982134e-05
"ENSMUSG00000044041","Krt13","ENSMUSG00000044041",1821,"keratin 13 [Source:MGI Symbol;Acc:MGI:101925]","protein_coding","chromosome",16663,102.453614544386,2079.26846183875,4.3374832650972,10.9544430723603,484.818447057521,3.77938678852143e-09,2.62043782982134e-05
"ENSMUSG00000026070","Il18r1","ENSMUSG00000026070",4817,"interleukin 18 receptor 1 [Source:MGI Symbol;Acc:MGI:105383]","protein_coding","chromosome",16182,1.959759389016,14.8542265713371,2.90588407393782,5.34402457057469,405.300904684728,8.35273160763845e-09,2.97020250176616e-05
"ENSMUSG00000019528","Gyg","ENSMUSG00000019528",2344,"glycogenin [Source:MGI Symbol;Acc:MGI:1351614]","protein_coding","chromosome",27357,71.3075298937738,10.0072086190366,-2.84265038785588,6.58286686422025,402.977179677355,8.56768587803031e-09,2.97020250176616e-05
"ENSMUSG00000025329","Padi1","ENSMUSG00000025329",3754,"peptidyl arginine deiminase, type I [Source:MGI Symbol;Acc:MGI:1338893]","protein_coding","chromosome",18599,2.08051153037898,36.6866717980399,4.11248275748052,6.19051672183826,297.29173397065,4.61737750234931e-08,0.000106002729767628
"ENSMUSG00000027452","Acss1","ENSMUSG00000027452",4128,"acyl-CoA synthetase short-chain family member 1 [Source:MGI Symbol;Acc:MGI:1915988]","protein_coding","chromosome",68738,2.74339174137894,12.8700252078112,2.2158114402809,5.02026427992391,257.40629121242,6.14613624116842e-08,0.000106002729767628
"ENSMUSG00000044594","Serpinb3a","ENSMUSG00000044594",1631,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3A [Source:MGI Symbol;Acc:MGI:3573933]","protein_coding","chromosome",20248,1.03905489911615,82.685202324157,6.29966577100891,6.09151252522614,341.569640064029,6.78752321519082e-08,0.000106002729767628
"ENSMUSG00000030220","Arhgdib","ENSMUSG00000030220",1707,"Rho, GDP dissociation inhibitor (GDI) beta [Source:MGI Symbol;Acc:MGI:101940]","protein_coding","chromosome",11857,29.9226105011694,157.810430317659,2.38315675966376,7.32477551685902,249.583546502568,7.03304220603313e-08,0.000106002729767628
"ENSMUSG00000020340","Cyfip2","ENSMUSG00000020340",7103,"cytoplasmic FMR1 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1924134]","protein_coding","chromosome",76884,23.7267911192303,2.85818600006941,-3.07383894719113,6.58271486447593,244.435852455744,7.7027032591265e-08,0.000106002729767628
"ENSMUSG00000079339","Ifit1bl1","ENSMUSG00000079339",2260,"interferon induced protein with tetratricpeptide repeats 1B like 1 [Source:MGI Symbol;Acc:MGI:3650685]","protein_coding","chromosome",667373,32.7425942967446,165.919130520766,2.32909788480613,7.80776267865547,240.250594725941,8.30531178456943e-08,0.000106002729767628
"ENSMUSG00000028399","Ptprd","ENSMUSG00000028399",22822,"protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]","protein_coding","chromosome",19266,4.89048724767583,1.00348118507188,-2.29405497693454,6.08037894024196,239.570054701036,8.40866825877198e-08,0.000106002729767628
"ENSMUSG00000016024","Lbp","ENSMUSG00000016024",4831,"lipopolysaccharide binding protein [Source:MGI Symbol;Acc:MGI:1098776]","protein_coding","chromosome",16803,0.899215846084723,9.72934813938986,3.42740439118235,4.68849141964991,228.389139358994,1.03550462335711e-07,0.000119661188434109
"ENSMUSG00000025105","Bnc1","ENSMUSG00000025105",4680,"basonuclin 1 [Source:MGI Symbol;Acc:MGI:1097164]","protein_coding","chromosome",12173,23.776631049846,5.56378747739589,-2.11023456789925,6.11257395468578,210.971162759062,1.46186197996806e-07,0.000155935692893978
"ENSMUSG00000033684","Qsox1","ENSMUSG00000033684",8291,"quiescin Q6 sulfhydryl oxidase 1 [Source:MGI Symbol;Acc:MGI:1330818]","protein_coding","chromosome",104009,1.29207096848615,8.79249950816097,2.74096039360404,5.39014311049202,205.979695203469,1.62188941110454e-07,0.000160648146169905
"ENSMUSG00000041817","Fam169a","ENSMUSG00000041817",6082,"family with sequence similarity 169, member A [Source:MGI Symbol;Acc:MGI:2444268]","protein_coding","chromosome",320557,40.7895069846253,5.71198427731146,-2.84084756173318,7.14474272179577,188.102316384282,2.62499524043912e-07,0.000231874020247005
"ENSMUSG00000029851","Tcaf2","ENSMUSG00000029851",4778,"TRPM8 channel-associated factor 2 [Source:MGI Symbol;Acc:MGI:2385258]","protein_coding","chromosome",232748,10.7232160460273,2.05656256037841,-2.40028753685828,4.95648782308954,179.484096281723,2.94192883732277e-07,0.000231874020247005
"ENSMUSG00000028664","Ephb2","ENSMUSG00000028664",12608,"Eph receptor B2 [Source:MGI Symbol;Acc:MGI:99611]","protein_coding","chromosome",13844,1.1379859189946,4.1579595632911,1.85220032780857,5.07212561817185,179.408494674755,2.94727859522113e-07,0.000231874020247005
"ENSMUSG00000041301","Cftr","ENSMUSG00000041301",7765,"cystic fibrosis transmembrane conductance regulator [Source:MGI Symbol;Acc:MGI:88388]","protein_coding","chromosome",12638,0.22026866152112,2.50645576826123,3.48143352278685,3.43284521921913,173.825308264096,3.37744102080471e-07,0.000231874020247005
"ENSMUSG00000025083","Afap1l2","ENSMUSG00000025083",5675,"actin filament associated protein 1-like 2 [Source:MGI Symbol;Acc:MGI:2147658]","protein_coding","chromosome",226250,15.8331898806964,4.8031870495217,-1.73493303790757,5.8857412579808,172.630526453397,3.47924387329605e-07,0.000231874020247005
"ENSMUSG00000026981","Il1rn","ENSMUSG00000026981",5535,"interleukin 1 receptor antagonist [Source:MGI Symbol;Acc:MGI:96547]","protein_coding","chromosome",16181,1.17163510779953,10.9240540279158,3.19487753400353,5.06709101239478,174.581876746552,3.48122692433771e-07,0.000231874020247005
"ENSMUSG00000046186","Cd109","ENSMUSG00000046186",6900,"CD109 antigen [Source:MGI Symbol;Acc:MGI:2445221]","protein_coding","chromosome",235505,10.9215850845352,2.46491599787604,-2.15326699665022,5.54066901704438,170.437398290419,3.67605545130115e-07,0.000231874020247005
"ENSMUSG00000009585","Apobec3","ENSMUSG00000009585",9454,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3 [Source:MGI Symbol;Acc:MGI:1933111]","protein_coding","chromosome",80287,1.30437848564145,5.96106578823362,2.17965507513225,5.11497018063815,169.778919164018,3.73778583830005e-07,0.000231874020247005
"ENSMUSG00000050530","Fam171a1","ENSMUSG00000050530",4442,"family with sequence similarity 171, member A1 [Source:MGI Symbol;Acc:MGI:2442917]","protein_coding","chromosome",269233,19.4862343222655,3.34568701348817,-2.56722552417859,5.68579335312098,167.862402264917,3.92480142389258e-07,0.000231874020247005
"ENSMUSG00000030249","Abcc9","ENSMUSG00000030249",8373,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:MGI Symbol;Acc:MGI:1352630]","protein_coding","chromosome",20928,6.53883117671728,22.0505713664802,1.73797587127089,6.90847372296026,164.130256219275,4.32293789986861e-07,0.000231874020247005
"ENSMUSG00000020911","Krt19","ENSMUSG00000020911",1855,"keratin 19 [Source:MGI Symbol;Acc:MGI:96693]","protein_coding","chromosome",16669,59.1355569092394,308.738987683762,2.38123190342795,8.41138390187944,163.740620745088,4.36729022128213e-07,0.000231874020247005
"ENSMUSG00000029484","Anxa3","ENSMUSG00000029484",3643,"annexin A3 [Source:MGI Symbol;Acc:MGI:1201378]","protein_coding","chromosome",11745,1.86572812167071,11.7758769960891,2.65487748958754,4.64539458992158,163.633462273138,4.37958545761911e-07,0.000231874020247005
"ENSMUSG00000041272","Tox","ENSMUSG00000041272",7609,"thymocyte selection-associated high mobility group box [Source:MGI Symbol;Acc:MGI:2181659]","protein_coding","chromosome",252838,3.99486001241188,0.513707198852216,-2.95803376067395,4.11698386169102,162.479174404714,4.5147461936029e-07,0.000231874020247005
"ENSMUSG00000071561","Cstdc5","ENSMUSG00000071561",790,"cystatin domain containing 5 [Source:MGI Symbol;Acc:MGI:3696883]","protein_coding","chromosome",100034684,46.3946175602013,238.418659631063,2.34966283620006,6.81400110467985,160.421724262688,4.76853719856151e-07,0.000236161804758759
"ENSMUSG00000033965","Slc16a2","ENSMUSG00000033965",4263,"solute carrier family 16 (monocarboxylic acid transporters), member 2 [Source:MGI Symbol;Acc:MGI:1203732]","protein_coding","chromosome",20502,5.90765481457607,19.8448105392282,1.73079042958697,5.78307368700145,157.417539609168,5.17121211199575e-07,0.00023933535950791
"ENSMUSG00000037161","Mgarp","ENSMUSG00000037161",2067,"mitochondria localized glutamic acid rich protein [Source:MGI Symbol;Acc:MGI:1914999]","protein_coding","chromosome",67749,507.730243166013,83.2880753081082,-2.61577672073532,9.25804390786202,156.399953922164,5.31695327513752e-07,0.00023933535950791
"ENSMUSG00000056947","Mab21l1","ENSMUSG00000056947",2492,"mab-21-like 1 [Source:MGI Symbol;Acc:MGI:1333773]","protein_coding","chromosome",17116,12.5240144052862,2.75532808551701,-2.18973776268604,4.26810387178721,156.171244510537,5.3503974505987e-07,0.00023933535950791
"ENSMUSG00000005873","Reep5","ENSMUSG00000005873",3151,"receptor accessory protein 5 [Source:MGI Symbol;Acc:MGI:1270152]","protein_coding","chromosome",13476,44.1426091628179,13.9012005555165,-1.68003984379464,6.52695557986466,151.929916023418,6.01984965049378e-07,0.000246869197871286
"ENSMUSG00000033149","Phldb2","ENSMUSG00000033149",7577,"pleckstrin homology like domain, family B, member 2 [Source:MGI Symbol;Acc:MGI:2444981]","protein_coding","chromosome",208177,5.82705038064211,1.54507107667073,-1.92678658930359,4.82292321430007,151.584127496645,6.07882309653466e-07,0.000246869197871286
"ENSMUSG00000035105","Egln3","ENSMUSG00000035105",2662,"egl-9 family hypoxia-inducible factor 3 [Source:MGI Symbol;Acc:MGI:1932288]","protein_coding","chromosome",112407,162.451222678273,35.7080295071906,-2.20820655384405,8.05594718445947,149.910610992303,6.37441845290736e-07,0.000246869197871286
"ENSMUSG00000045053","Kcng3","ENSMUSG00000045053",3356,"potassium voltage-gated channel, subfamily G, member 3 [Source:MGI Symbol;Acc:MGI:2663923]","protein_coding","chromosome",225030,5.02397893585028,0.411159148438549,-3.62792387948742,3.23201674002878,149.541030323165,6.44204824670259e-07,0.000246869197871286
"ENSMUSG00000046743","Fat4","ENSMUSG00000046743",17165,"FAT atypical cadherin 4 [Source:MGI Symbol;Acc:MGI:3045256]","protein_coding","chromosome",329628,11.6509827792311,2.15640007824224,-2.43330122986965,6.89381069810397,151.135112015688,6.44642694777852e-07,0.000246869197871286
"ENSMUSG00000026163","Sphkap","ENSMUSG00000026163",9602,"SPHK1 interactor, AKAP domain containing [Source:MGI Symbol;Acc:MGI:1924879]","protein_coding","chromosome",77629,8.12652836321389,1.16529443548059,-2.80613859655938,5.48545751845684,151.747302012129,6.58697650626494e-07,0.000246869197871286
"ENSMUSG00000041361","Myzap","ENSMUSG00000041361",5635,"myocardial zonula adherens protein [Source:MGI Symbol;Acc:MGI:2142908]","protein_coding","chromosome",102371,2.74656763497987,10.1819401544801,1.88399384981383,5.19531026579545,147.194312701889,6.89255467849352e-07,0.000248085988021311
"ENSMUSG00000058248","Kcnh1","ENSMUSG00000058248",7331,"potassium voltage-gated channel, subfamily H (eag-related), member 1 [Source:MGI Symbol;Acc:MGI:1341721]","protein_coding","chromosome",16510,2.41802756600224,9.29607089642534,1.92872190093744,5.43412750356678,146.774047067142,6.977250690727e-07,0.000248085988021311
"ENSMUSG00000035954","Dock4","ENSMUSG00000035954",22923,"dedicator of cytokinesis 4 [Source:MGI Symbol;Acc:MGI:1918006]","protein_coding","chromosome",238130,0.355658814463288,1.46703514999504,2.0276172294133,4.39840933981033,143.762859013185,7.62279719035307e-07,0.000258284475262851
"ENSMUSG00000022941","Ripply3","ENSMUSG00000022941",1531,"ripply transcriptional repressor 3 [Source:MGI Symbol;Acc:MGI:2181192]","protein_coding","chromosome",170765,6.08808377710419,33.662964490783,2.45958894244185,4.93388623850527,143.701942671987,7.63659298029631e-07,0.000258284475262851
"ENSMUSG00000055415","Atp10b","ENSMUSG00000055415",9816,"ATPase, class V, type 10B [Source:MGI Symbol;Acc:MGI:2442688]","protein_coding","chromosome",319767,5.00951540511367,16.6289161812768,1.70880451978739,6.73542751132843,142.487240891243,7.91816631779322e-07,0.000261431457925806
"ENSMUSG00000058624","Gda","ENSMUSG00000058624",6235,"guanine deaminase [Source:MGI Symbol;Acc:MGI:95678]","protein_coding","chromosome",14544,27.1312472364586,91.5121619910812,1.73380695182484,8.53210364748838,138.835133134664,8.84460774993057e-07,0.000285228315507645
"ENSMUSG00000024727","Trpm6","ENSMUSG00000024727",7719,"transient receptor potential cation channel, subfamily M, member 6 [Source:MGI Symbol;Acc:MGI:2675603]","protein_coding","chromosome",225997,5.0951242531657,17.116231731005,1.73353269642141,6.42940718986227,136.549256597357,9.49221072601768e-07,0.000285971224140727
"ENSMUSG00000041598","Cdc42ep4","ENSMUSG00000041598",3643,"CDC42 effector protein (Rho GTPase binding) 4 [Source:MGI Symbol;Acc:MGI:1929760]","protein_coding","chromosome",56699,35.0161756650526,13.668053708783,-1.3713058806531,6.48261602328813,136.158855109993,9.60853346275667e-07,0.000285971224140727
"ENSMUSG00000039234","Sec24d","ENSMUSG00000039234",6325,"Sec24 related gene family, member D (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916858]","protein_coding","chromosome",69608,1.23239190022328,5.16352958212719,2.04843976366576,4.35151945285721,135.657852550291,9.76037356382857e-07,0.000285971224140727
"ENSMUSG00000052572","Dlg2","ENSMUSG00000052572",17870,"discs large MAGUK scaffold protein 2 [Source:MGI Symbol;Acc:MGI:1344351]","protein_coding","chromosome",23859,4.48206422375466,1.7890693512599,-1.33737544929655,5.82031396599594,134.71707037252,1.00535017274336e-06,0.000285971224140727
"ENSMUSG00000020181","Nav3","ENSMUSG00000020181",16536,"neuron navigator 3 [Source:MGI Symbol;Acc:MGI:2183703]","protein_coding","chromosome",260315,1.0572009824999,0.109941677932133,-3.28487828111296,3.32066578074968,133.916802908605,1.03113533576058e-06,0.000285971224140727
"ENSMUSG00000023232","Serinc2","ENSMUSG00000023232",2319,"serine incorporator 2 [Source:MGI Symbol;Acc:MGI:1919132]","protein_coding","chromosome",230779,11.7774403786943,37.5961766143065,1.65900025109718,5.84446549313439,133.881919601499,1.03227756782157e-06,0.000285971224140727
"ENSMUSG00000032202","Rab27a","ENSMUSG00000032202",3879,"RAB27A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1861441]","protein_coding","chromosome",11891,6.48356862607462,52.5370070865731,3.02359094582992,6.83971074042297,153.916682439556,1.0511949195653e-06,0.000285971224140727
"ENSMUSG00000039774","Galnt12","ENSMUSG00000039774",2288,"polypeptide N-acetylgalactosaminyltransferase 12 [Source:MGI Symbol;Acc:MGI:2444664]","protein_coding","chromosome",230145,4.24392515831337,17.1114399021292,1.99535777566335,4.62111585772751,133.294578330709,1.051743883405e-06,0.000285971224140727
"ENSMUSG00000041992","Rapgef5","ENSMUSG00000041992",12785,"Rap guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:2444365]","protein_coding","chromosome",217944,5.95670726529277,1.9128527160837,-1.64597520710922,5.65937859523674,130.07439580846,1.16681272277009e-06,0.000311157538974093
"ENSMUSG00000007034","Slc44a4","ENSMUSG00000007034",3112,"solute carrier family 44, member 4 [Source:MGI Symbol;Acc:MGI:1917379]","protein_coding","chromosome",70129,6.52707129482129,21.9490989870531,1.72993357308635,5.47723671376634,129.263142899696,1.19819245575308e-06,0.000313496882715622
"ENSMUSG00000023243","Kcnk5","ENSMUSG00000023243",3404,"potassium channel, subfamily K, member 5 [Source:MGI Symbol;Acc:MGI:1336175]","protein_coding","chromosome",16529,2.67301613817433,14.6589517124395,2.44277104053372,4.89420556012924,128.441725171289,1.23102245092314e-06,0.000316122006054653
"ENSMUSG00000052942","Glis3","ENSMUSG00000052942",8842,"GLIS family zinc finger 3 [Source:MGI Symbol;Acc:MGI:2444289]","protein_coding","chromosome",226075,1.0091375775811,6.02005951701911,2.54381134886662,4.96926613020836,127.191175553884,1.2831417864176e-06,0.00032351503913187
"ENSMUSG00000053054","Adh6a","ENSMUSG00000053054",2542,"alcohol dehydrogenase 6A (class V) [Source:MGI Symbol;Acc:MGI:1916367]","protein_coding","chromosome",69117,4.97448572474685,19.8199396216575,1.98144497420859,4.98658083931539,125.359026257134,1.36446235087521e-06,0.000332639934811664
"ENSMUSG00000032528","Vipr1","ENSMUSG00000032528",5800,"vasoactive intestinal peptide receptor 1 [Source:MGI Symbol;Acc:MGI:109272]","protein_coding","chromosome",22354,0.436521737296827,3.73172281579282,3.08565619244699,3.62415395547778,124.923947821893,1.38469042235054e-06,0.000332639934811664
"ENSMUSG00000017978","Cadps2","ENSMUSG00000017978",9566,"Ca2+-dependent activator protein for secretion 2 [Source:MGI Symbol;Acc:MGI:2443963]","protein_coding","chromosome",320405,1.07250402601937,3.86184897998537,1.83433910116187,4.57551501663508,124.783527855328,1.39129705192735e-06,0.000332639934811664
"ENSMUSG00000022026","Olfm4","ENSMUSG00000022026",2962,"olfactomedin 4 [Source:MGI Symbol;Acc:MGI:2685142]","protein_coding","chromosome",380924,0.966503642703941,16.7533724452445,4.1003375031892,4.71647908667902,145.471466443294,1.45097274069846e-06,0.000341027779580773
"ENSMUSG00000027035","Cers6","ENSMUSG00000027035",8875,"ceramide synthase 6 [Source:MGI Symbol;Acc:MGI:2442564]","protein_coding","chromosome",241447,2.41862531969359,8.65939806431826,1.8359218043546,5.624219548825,122.935604311866,1.48193532263627e-06,0.000342499951983286
"ENSMUSG00000059898","Dsc3","ENSMUSG00000059898",5403,"desmocollin 3 [Source:MGI Symbol;Acc:MGI:1194993]","protein_coding","chromosome",13507,249.954907043829,89.7841493279105,-1.48984338591171,9.85050195632536,121.29060765657,1.56875773384372e-06,0.000356622352380506
"ENSMUSG00000039116","Adgrg6","ENSMUSG00000039116",12228,"adhesion G protein-coupled receptor G6 [Source:MGI Symbol;Acc:MGI:1916151]","protein_coding","chromosome",215798,0.241447270841675,2.14573629785733,3.14959568557599,3.88785910377355,118.124252405752,1.75407579499711e-06,0.000392318855632661
"ENSMUSG00000021749","Oit1","ENSMUSG00000021749",1569,"oncoprotein induced transcript 1 [Source:MGI Symbol;Acc:MGI:1201784]","protein_coding","chromosome",18300,15.0929236791487,42.1420713669018,1.47593388792838,5.49589468437815,114.514016610956,1.99915105749592e-06,0.000427452580675436
"ENSMUSG00000026395","Ptprc","ENSMUSG00000026395",18313,"protein tyrosine phosphatase, receptor type, C [Source:MGI Symbol;Acc:MGI:97810]","protein_coding","chromosome",19264,0.0538084510916673,0.712653801189454,3.69995375752137,2.85108286858222,114.403456325513,2.0072952464599e-06,0.000427452580675436
"ENSMUSG00000002900","Lamb1","ENSMUSG00000002900",9917,"laminin B1 [Source:MGI Symbol;Acc:MGI:96743]","protein_coding","chromosome",16777,12.5982653642092,3.79106701383339,-1.74076475757756,6.35622423885891,114.31186232474,2.01407304640617e-06,0.000427452580675436
"ENSMUSG00000020644","Id2","ENSMUSG00000020644",2438,"inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397]","protein_coding","chromosome",15902,23.7755066951497,7.62226997016753,-1.64424825582931,5.26551302500313,113.766228457077,2.05503363198407e-06,0.000427452580675436
"ENSMUSG00000027639","Samhd1","ENSMUSG00000027639",9150,"SAM domain and HD domain, 1 [Source:MGI Symbol;Acc:MGI:1927468]","protein_coding","chromosome",56045,2.98542943861403,11.4237465651312,1.93286265143533,6.05058921215702,113.631732430415,2.06528614013516e-06,0.000427452580675436
"ENSMUSG00000022307","Oxr1","ENSMUSG00000022307",7136,"oxidation resistance 1 [Source:MGI Symbol;Acc:MGI:2179326]","protein_coding","chromosome",170719,108.751385639453,37.3661121500402,-1.55007454099009,9.02925457906269,111.981994879345,2.19627577862067e-06,0.000447878767972542
"ENSMUSG00000022330","Osr2","ENSMUSG00000022330",3623,"odd-skipped related 2 [Source:MGI Symbol;Acc:MGI:1930813]","protein_coding","chromosome",107587,4.22566842020143,30.7048234787031,2.85390316346798,5.99569332523689,129.726580567787,2.25379766691742e-06,0.000452948003581795
