"","length","gc"
"ENSMUSG00000002602",5033,0.535863302205444
"ENSMUSG00000030681",7627,0.505047856299987
"ENSMUSG00000001131",888,0.529279279279279
"ENSMUSG00000053626",7758,0.404485692188708
"ENSMUSG00000047798",5149,0.484365896290542
"ENSMUSG00000028859",3609,0.541978387364921
"ENSMUSG00000027962",8870,0.409582863585118
"ENSMUSG00000015143",5533,0.52557382974878
"ENSMUSG00000031207",6327,0.450924608819346
"ENSMUSG00000040212",1071,0.544351073762838
"ENSMUSG00000054555",10573,0.4558781802705
"ENSMUSG00000042589",10082,0.532334854195596
"ENSMUSG00000025351",3682,0.581477457903313
"ENSMUSG00000034220",5159,0.578212831944175
"ENSMUSG00000000204",3964,0.437436932391524
"ENSMUSG00000006219",4457,0.489342607134844
"ENSMUSG00000042228",4073,0.455438251902774
"ENSMUSG00000024981",4864,0.473889802631579
"ENSMUSG00000095115",6865,0.506045156591406
"ENSMUSG00000033107",1677,0.494335122242099
"ENSMUSG00000020181",16536,0.411284470246734
"ENSMUSG00000031825",4777,0.541971948921917
"ENSMUSG00000043613",1801,0.458634092171016
"ENSMUSG00000056071",522,0.377394636015326
"ENSMUSG00000025647",3297,0.54079466181377
"ENSMUSG00000050359",806,0.397022332506203
"ENSMUSG00000040711",9793,0.518737873991627
"ENSMUSG00000037820",4608,0.534288194444444
"ENSMUSG00000028599",3818,0.50523834468308
"ENSMUSG00000055003",4102,0.556313993174061
"ENSMUSG00000001750",4603,0.524223332609168
"ENSMUSG00000020607",4308,0.535283194057567
"ENSMUSG00000083282",5041,0.540567347748463
"ENSMUSG00000071713",7277,0.524117081214786
"ENSMUSG00000028871",1938,0.598555211558307
"ENSMUSG00000026981",5535,0.431255645889792
"ENSMUSG00000056737",2529,0.565836298932384
"ENSMUSG00000072620",1664,0.495192307692308
"ENSMUSG00000061808",1186,0.464586846543002
"ENSMUSG00000029765",14103,0.487201304686946
"ENSMUSG00000002233",1618,0.57849196538937
"ENSMUSG00000021823",8191,0.464534244902942
"ENSMUSG00000079654",3411,0.612430372324831
"ENSMUSG00000034595",4317,0.563585823488534
"ENSMUSG00000038576",3858,0.568429237947123
"ENSMUSG00000031584",2754,0.5
"ENSMUSG00000018171",3862,0.423873640600725
"ENSMUSG00000068220",903,0.548172757475083
"ENSMUSG00000074607",3401,0.574242869744193
"ENSMUSG00000019558",5210,0.559500959692898
"ENSMUSG00000038526",2543,0.491545418796697
"ENSMUSG00000024990",1343,0.481757259865972
"ENSMUSG00000028519",7908,0.47635306019221
"ENSMUSG00000024907",788,0.539340101522843
"ENSMUSG00000029379",3498,0.429388221841052
"ENSMUSG00000074505",21478,0.405717478349939
"ENSMUSG00000022443",12928,0.528465346534653
"ENSMUSG00000059248",7565,0.560079312623926
"ENSMUSG00000030560",5808,0.408057851239669
"ENSMUSG00000039405",3767,0.435890629147863
"ENSMUSG00000024613",5266,0.522407899734144
"ENSMUSG00000020869",3073,0.530751708428246
"ENSMUSG00000040037",10506,0.427184466019417
"ENSMUSG00000072812",14163,0.545011650074137
"ENSMUSG00000041559",3306,0.540834845735027
"ENSMUSG00000019232",8262,0.421084483175986
"ENSMUSG00000041974",6952,0.391254315304948
"ENSMUSG00000056529",3637,0.50013747594171
"ENSMUSG00000034687",17709,0.50974080975775
"ENSMUSG00000050335",1858,0.559203444564047
"ENSMUSG00000030209",24842,0.459624828918767
"ENSMUSG00000025212",3110,0.533118971061093
"ENSMUSG00000048612",12603,0.436165992224074
"ENSMUSG00000002885",3757,0.513707745541656
"ENSMUSG00000054720",7654,0.452443166971518
"ENSMUSG00000032231",3731,0.51219512195122
"ENSMUSG00000037822",15976,0.453680520781172
"ENSMUSG00000004846",4519,0.568488603673379
"ENSMUSG00000029622",5115,0.528054740957967
"ENSMUSG00000025473",4638,0.523070288917637
"ENSMUSG00000021281",4984,0.566412520064206
"ENSMUSG00000037664",2039,0.627268268759196
"ENSMUSG00000020473",4058,0.585017249876786
"ENSMUSG00000012428",3155,0.447226624405705
"ENSMUSG00000013629",8183,0.571917389710375
"ENSMUSG00000031328",9457,0.516337104790103
"ENSMUSG00000073411",2579,0.534703373400543
"ENSMUSG00000000325",6715,0.582576321667908
"ENSMUSG00000039253",2520,0.471825396825397
"ENSMUSG00000020901",5550,0.556756756756757
"ENSMUSG00000006345",3411,0.559366754617414
"ENSMUSG00000086587",1012,0.428853754940711
"ENSMUSG00000064115",9809,0.41421143847487
"ENSMUSG00000028108",2521,0.563665212217374
"ENSMUSG00000032010",4818,0.555832295558323
"ENSMUSG00000028494",3512,0.437927107061503
"ENSMUSG00000034201",6100,0.584098360655738
"ENSMUSG00000030587",1564,0.59079283887468
"ENSMUSG00000047557",1508,0.488063660477454
"ENSMUSG00000046402",2652,0.523001508295626
"ENSMUSG00000046711",2125,0.621647058823529
"ENSMUSG00000030403",2617,0.559419182269774
"ENSMUSG00000001870",10691,0.50014030492938
"ENSMUSG00000025656",8776,0.407930720145852
"ENSMUSG00000027698",5253,0.446030839520274
"ENSMUSG00000034993",2766,0.585683297180043
"ENSMUSG00000023159",5445,0.434894398530762
"ENSMUSG00000021238",5784,0.425311203319502
"ENSMUSG00000026479",8039,0.457270804826471
"ENSMUSG00000038065",5695,0.497278314310799
"ENSMUSG00000007029",5608,0.602710413694722
"ENSMUSG00000005667",3487,0.437912245483223
"ENSMUSG00000017390",3263,0.522218817039534
"ENSMUSG00000042804",3909,0.609107188539268
"ENSMUSG00000028381",5212,0.435533384497314
"ENSMUSG00000033763",5311,0.597062700056487
"ENSMUSG00000020077",2196,0.466302367941712
"ENSMUSG00000055805",4886,0.572247237003684
"ENSMUSG00000030536",16538,0.459487241504414
"ENSMUSG00000112023",5439,0.415517558374701
"ENSMUSG00000026180",3048,0.455708661417323
"ENSMUSG00000045193",2604,0.567204301075269
"ENSMUSG00000029371",1863,0.412775093934514
"ENSMUSG00000046807",4603,0.544427547251792
"ENSMUSG00000039126",20297,0.454402128393359
"ENSMUSG00000057880",7748,0.484124935467217
"ENSMUSG00000046731",3146,0.557533375715194
"ENSMUSG00000004665",2460,0.535772357723577
"ENSMUSG00000032220",5704,0.500525946704067
"ENSMUSG00000021508",1827,0.58839627805145
"ENSMUSG00000018774",1257,0.523468575974543
"ENSMUSG00000035493",3771,0.524794484221692
"ENSMUSG00000046722",3258,0.530386740331492
"ENSMUSG00000032009",15269,0.441220774117493
"ENSMUSG00000054226",5355,0.467787114845938
"ENSMUSG00000020823",7176,0.538879598662207
"ENSMUSG00000008398",4550,0.51032967032967
"ENSMUSG00000002147",4402,0.542253521126761
"ENSMUSG00000023994",7315,0.478332194121668
"ENSMUSG00000037411",3876,0.50515995872033
"ENSMUSG00000034612",5527,0.49846209516917
"ENSMUSG00000045005",6915,0.533911785972524
"ENSMUSG00000024937",6964,0.542504307869041
"ENSMUSG00000020704",4264,0.472091932457786
"ENSMUSG00000017774",6585,0.565679574791192
"ENSMUSG00000028583",1817,0.509631260319207
"ENSMUSG00000034593",14803,0.448422617037087
"ENSMUSG00000032115",7230,0.522821576763486
